id;user_id;character_id;title;created_at;updated_at
a6a5aa64-fcae-404b-ba3f-f87f73e68a42;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;c9b4bc9c-a3d3-4abd-9fb1-644ca4eb4ed6;Ngọc Diệp;2026-02-26 01:17:30.596439+00;2026-02-26 01:23:41.767185+00
6f7ceb57-edee-47e2-9eea-1dced50497cf;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;c67c9916-c640-4354-a73a-f9531e07f2c6;Luna;2026-02-23 16:46:09.937263+00;2026-02-23 16:47:04.45039+00
931d2db4-4670-4d83-973c-5c3683791e83;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;8714632f-507e-4dbf-8443-5d8067f01c53;Nguyễn Mỹ Linh;2026-02-26 06:34:17.145134+00;2026-02-26 06:48:53.6246+00
5890a290-04dc-4b69-82cb-f12247d6fd01;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;fa0437f9-298d-43c7-bdd0-dac7cf8cc7e2;Hà My;2026-02-25 19:49:42.361594+00;2026-02-25 19:51:43.188669+00
f3a8095c-63a3-40fa-ba7b-4c3967a2d8aa;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;aeee6882-8090-480c-85a1-00bf47233290;Mỹ Kim;2026-02-26 01:24:50.633705+00;2026-02-26 01:25:23.292415+00
8115eb80-24ef-474f-856f-03e0d52ebc2b;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;09b44670-e96c-496d-aeab-00a654f6ca38;Ruby (Minh Anh);2026-02-26 01:26:45.847994+00;2026-02-26 01:29:21.753921+00
16be1b27-2666-4809-96ae-a73a88f51b1e;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;e15dd937-1ccb-4739-9674-58594f706564;Thiên Kim;2026-02-25 19:54:54.005619+00;2026-02-25 20:01:26.541504+00
d79d4d75-2488-42bd-b09a-2eafe25e2260;2a1f2dfd-97c3-4026-9437-7b8afa80f6ba;2ed03ce4-bb43-44f9-af3f-a315679ae04b;Nguyễn Linh Chi;2026-02-26 06:17:22.659794+00;2026-02-26 06:20:30.281505+00
